Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Product rating count (product.metafields.reviews.rating_count),Active ingredient (product.metafields.shopify.active-ingredient),Age group (product.metafields.shopify.age-group),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Dispenser type (product.metafields.shopify.dispenser-type),Fragrance level (product.metafields.shopify.fragrance-level),Moisturizer type (product.metafields.shopify.moisturizer-type),Package type (product.metafields.shopify.package-type),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cream-cleanser,Gentle Skin Cleanser,"<p><span class=""BZ_Pyq_fadeIn"">Cream </span><span class=""BZ_Pyq_fadeIn"">cleansers </span><span class=""BZ_Pyq_fadeIn"">are </span><span class=""BZ_Pyq_fadeIn"">rich, </span><span class=""BZ_Pyq_fadeIn"">hydrating </span><span class=""BZ_Pyq_fadeIn"">formulas </span><span class=""BZ_Pyq_fadeIn"">designed </span><span class=""BZ_Pyq_fadeIn"">to </span><span class=""BZ_Pyq_fadeIn"">gently </span><span class=""BZ_Pyq_fadeIn"">cleanse </span><span class=""BZ_Pyq_fadeIn"">the </span><span class=""BZ_Pyq_fadeIn"">skin </span><span class=""BZ_Pyq_fadeIn"">while </span><span class=""BZ_Pyq_fadeIn"">maintaining </span><span class=""BZ_Pyq_fadeIn"">its </span><span class=""BZ_Pyq_fadeIn"">natural </span><span class=""BZ_Pyq_fadeIn"">moisture </span><span class=""BZ_Pyq_fadeIn"">barrier. </span><span class=""BZ_Pyq_fadeIn"">Unlike </span><span class=""BZ_Pyq_fadeIn"">foaming </span><span class=""BZ_Pyq_fadeIn"">cleansers, </span><span class=""BZ_Pyq_fadeIn"">cream </span><span class=""BZ_Pyq_fadeIn"">cleansers </span><span class=""BZ_Pyq_fadeIn"">do </span><span class=""BZ_Pyq_fadeIn"">not </span><span class=""BZ_Pyq_fadeIn"">produce </span><span class=""BZ_Pyq_fadeIn"">heavy </span><span class=""BZ_Pyq_fadeIn"">lather </span><span class=""BZ_Pyq_fadeIn"">but </span><span class=""BZ_Pyq_fadeIn"">instead </span><span class=""BZ_Pyq_fadeIn"">provide </span><span class=""BZ_Pyq_fadeIn"">a </span><span class=""BZ_Pyq_fadeIn"">nourishing </span><span class=""BZ_Pyq_fadeIn"">cleanse </span><span class=""BZ_Pyq_fadeIn"">that </span><span class=""BZ_Pyq_fadeIn"">leaves </span><span class=""BZ_Pyq_fadeIn"">the </span><span class=""BZ_Pyq_fadeIn"">skin </span><span class=""BZ_Pyq_fadeIn"">soft </span><span class=""BZ_Pyq_fadeIn"">and </span><span class=""BZ_Pyq_fadeIn"">comfortable.<br><br>Apply a small amount of cream cleanser to damp skin and massage gently using circular motions. Allow the cleanser to dissolve impurities before rinsing with lukewarm water. Use daily for soft and hydrated skin.</span><br></p>",Lumivara Skin,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansers,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,28,deny,manual,600.00,950.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0997/8141/1185/files/cleanser3_27ff1b50-85da-4a39-86f7-5ea4f6360b28.jpg?v=1773478909,1,"",false,,,,ceramides; caffeine; vitamin-k,teens; adults,glycerin; water; acacia-honey,,,,pump-bottle,,cream,cleansing; hydrating; moisturizing; nourishing; softening,moisturizing; long-lasting,all-skin-types,,kg,,,active
cream-cleanser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0997/8141/1185/files/cleanser7.jpg?v=1773479017,2,"",,,,,,,,,,,,,,,,,,,,,
cream-moisturizer,Atobarrier365 Cream,"<p><span class=""BZ_Pyq_fadeIn"">Cream </span><span class=""BZ_Pyq_fadeIn"">moisturizers </span><span class=""BZ_Pyq_fadeIn"">are </span><span class=""BZ_Pyq_fadeIn"">rich </span><span class=""BZ_Pyq_fadeIn"">and </span><span class=""BZ_Pyq_fadeIn"">nourishing </span><span class=""BZ_Pyq_fadeIn"">formulations </span><span class=""BZ_Pyq_fadeIn"">designed </span><span class=""BZ_Pyq_fadeIn"">to </span><span class=""BZ_Pyq_fadeIn"">provide </span><span class=""BZ_Pyq_fadeIn"">deep </span><span class=""BZ_Pyq_fadeIn"">hydration. </span><span class=""BZ_Pyq_fadeIn"">They </span><span class=""BZ_Pyq_fadeIn"">are </span><span class=""BZ_Pyq_fadeIn"">especially </span><span class=""BZ_Pyq_fadeIn"">beneficial </span><span class=""BZ_Pyq_fadeIn"">for </span><span class=""BZ_Pyq_fadeIn"">dry, </span><span class=""BZ_Pyq_fadeIn"">dehydrated, </span><span class=""BZ_Pyq_fadeIn"">or </span><span class=""BZ_Pyq_fadeIn"">mature </span><span class=""BZ_Pyq_fadeIn"">skin </span><span class=""BZ_Pyq_fadeIn"">types </span><span class=""BZ_Pyq_fadeIn"">that </span><span class=""BZ_Pyq_fadeIn"">require </span><span class=""BZ_Pyq_fadeIn"">intense </span><span class=""BZ_Pyq_fadeIn"">moisture.<br><br>Apply a small amount to clean skin and gently massage it in circular motions until fully absorbed.</span><br></p>",Lumivara Skin,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Moisturizers,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,40,deny,manual,899.00,1299.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0997/8141/1185/files/moisterizer8_929cef0b-51f9-492b-8120-49501954719b.jpg?v=1773479474,1,"",false,,,,,,,,,all-day,,,cream,,,dry; mature,,kg,,,active
cream-moisturizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0997/8141/1185/files/moisterizer7_19ae35cc-9d40-4ccd-a92d-8e641f9387e2.jpg?v=1773479474,2,"",,,,,,,,,,,,,,,,,,,,,
daily-glow-moisturizer,Daily Glow Moisturizer,"<p>A nourishing moisturizer that provides long-lasting hydration and helps maintain a healthy skin barrier.<br></p>
<p>Lumivara Daily Glow Moisturizer is crafted to deliver deep hydration while helping your skin stay soft and balanced throughout the day. The lightweight yet nourishing formula helps support the skin barrier and protects against dryness.</p>
<p>With consistent use, your skin feels smoother, healthier, and naturally radiant.<br><br>Deeply hydrates the skin<br>Improves skin softness<br>Helps maintain moisture balance<br>Lightweight and non-greasy<br>Perfect for daily use<br><br>1. Apply to clean skin.<br>2. Gently massage into face and neck.<br>3. Use morning and night after serum.<br></p>",Lumivara Skin,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Moisturizers,"","",true,Title,Default Title,,,,,,,,,100.0,shopify,35,deny,manual,1199.00,1599.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0997/8141/1185/files/moisterizer4.jpg?v=1773469065,1,"",false,,,,aloe-vera; hyaluronic-acid; niacinamide,,,,,all-day,box; flip-top; plastic-bottle; plastic-container,,cream; lotion,moisturizing; hydrating; uneven-skin-tone; anti-dark-spot; brightening,,dry; sensitive,,g,,,active
daily-glow-moisturizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0997/8141/1185/files/moisterizer5.jpg?v=1773479017,2,"",,,,,,,,,,,,,,,,,,,,,
foam-cleanser,2% Salicylic Acid Cleanser,"<p><span class=""BZ_Pyq_fadeIn"">Foaming </span><span class=""BZ_Pyq_fadeIn"">cleansers </span><span class=""BZ_Pyq_fadeIn"">transform </span><span class=""BZ_Pyq_fadeIn"">into </span><span class=""BZ_Pyq_fadeIn"">a </span><span class=""BZ_Pyq_fadeIn"">rich, </span><span class=""BZ_Pyq_fadeIn"">airy </span><span class=""BZ_Pyq_fadeIn"">foam </span><span class=""BZ_Pyq_fadeIn"">when </span><span class=""BZ_Pyq_fadeIn"">applied </span><span class=""BZ_Pyq_fadeIn"">to </span><span class=""BZ_Pyq_fadeIn"">the </span><span class=""BZ_Pyq_fadeIn"">skin. </span><span class=""BZ_Pyq_fadeIn"">This </span><span class=""BZ_Pyq_fadeIn"">type </span><span class=""BZ_Pyq_fadeIn"">of </span><span class=""BZ_Pyq_fadeIn"">cleanser </span><span class=""BZ_Pyq_fadeIn"">penetrates </span><span class=""BZ_Pyq_fadeIn"">deep </span><span class=""BZ_Pyq_fadeIn"">into </span><span class=""BZ_Pyq_fadeIn"">pores </span><span class=""BZ_Pyq_fadeIn"">to </span><span class=""BZ_Pyq_fadeIn"">remove </span><span class=""BZ_Pyq_fadeIn"">excess </span><span class=""BZ_Pyq_fadeIn"">oil, </span><span class=""BZ_Pyq_fadeIn"">dirt, </span><span class=""BZ_Pyq_fadeIn"">and </span><span class=""BZ_Pyq_fadeIn"">impurities. </span><span class=""BZ_Pyq_fadeIn"">It </span><span class=""BZ_Pyq_fadeIn"">provides </span><span class=""BZ_Pyq_fadeIn"">a </span><span class=""BZ_Pyq_fadeIn"">thorough </span><span class=""BZ_Pyq_fadeIn"">cleansing </span><span class=""BZ_Pyq_fadeIn"">experience </span><span class=""BZ_Pyq_fadeIn"">while </span><span class=""BZ_Pyq_fadeIn"">leaving </span><span class=""BZ_Pyq_fadeIn"">the </span><span class=""BZ_Pyq_fadeIn"">skin </span><span class=""BZ_Pyq_fadeIn"">feeling </span><span class=""BZ_Pyq_fadeIn"">fresh, </span><span class=""BZ_Pyq_fadeIn"">clean, </span><span class=""BZ_Pyq_fadeIn"">and </span><span class=""BZ_Pyq_fadeIn"">smooth.<br><br>Dispense a small amount of cleanser into your hands and lather with water to create foam. Apply the foam to your face and massage gently in circular motions for about 30 seconds. Rinse thoroughly with lukewarm water and pat dry.<br></span></p>",Lumivara Skin,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansers,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,56,deny,manual,450.00,780.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0997/8141/1185/files/cleanser2_501653d8-7b4d-4ac6-aab0-e17efe16fc89.jpg?v=1773478826,1,"",false,,,,niacinamide; aloe-vera,teens; adults,green-tea,,,,pump-bottle,,foam,cleansing; purifying; smoothing,non-greasy; easy-to-apply,all-skin-types,,kg,,,active
foam-cleanser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0997/8141/1185/files/cleanser6.jpg?v=1773479016,2,"",,,,,,,,,,,,,,,,,,,,,
gel-cleanser,Micellar Water,"<p><span class=""BZ_Pyq_fadeIn"">A </span><span class=""BZ_Pyq_fadeIn"">lightweight, </span><span class=""BZ_Pyq_fadeIn"">clear </span><span class=""BZ_Pyq_fadeIn"">cleanser </span><span class=""BZ_Pyq_fadeIn"">designed </span><span class=""BZ_Pyq_fadeIn"">to </span><span class=""BZ_Pyq_fadeIn"">remove </span><span class=""BZ_Pyq_fadeIn"">dirt, </span><span class=""BZ_Pyq_fadeIn"">oil, </span><span class=""BZ_Pyq_fadeIn"">and </span><span class=""BZ_Pyq_fadeIn"">impurities </span><span class=""BZ_Pyq_fadeIn"">without </span><span class=""BZ_Pyq_fadeIn"">stripping </span><span class=""BZ_Pyq_fadeIn"">the </span><span class=""BZ_Pyq_fadeIn"">skin. </span><span class=""BZ_Pyq_fadeIn"">Ideal </span><span class=""BZ_Pyq_fadeIn"">for </span><span class=""BZ_Pyq_fadeIn"">oily </span><span class=""BZ_Pyq_fadeIn"">and </span><span class=""BZ_Pyq_fadeIn"">acne-</span><span class=""BZ_Pyq_fadeIn"">prone </span><span class=""BZ_Pyq_fadeIn"">skin.<br><br>Apply a small amount to damp skin, gently massage for 30 seconds, and rinse with lukewarm water. Use morning and night.</span><br></p>",Lumivara Skin,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansers,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,30,deny,manual,500.00,900.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0997/8141/1185/files/cleanser1_4f0dc9e7-c213-423c-8829-015d3af4c06f.jpg?v=1773478655,1,"",false,,,,hemp-oil; caffeine; ceramides,adults,glycerin; water,,,,pump-bottle,,gel,cleansing; anti-acne,,oily; problem,,kg,,,active
gel-cleanser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0997/8141/1185/files/cleanser8.jpg?v=1773479017,2,"",,,,,,,,,,,,,,,,,,,,,
gel-moisturizer,Butter Intensive Moisture Balm,"<p><span class=""BZ_Pyq_fadeIn"">Gel </span><span class=""BZ_Pyq_fadeIn"">moisturizers </span><span class=""BZ_Pyq_fadeIn"">provide </span><span class=""BZ_Pyq_fadeIn"">lightweight </span><span class=""BZ_Pyq_fadeIn"">hydration </span><span class=""BZ_Pyq_fadeIn"">without </span><span class=""BZ_Pyq_fadeIn"">leaving </span><span class=""BZ_Pyq_fadeIn"">a </span><span class=""BZ_Pyq_fadeIn"">greasy </span><span class=""BZ_Pyq_fadeIn"">residue. </span><span class=""BZ_Pyq_fadeIn"">Their </span><span class=""BZ_Pyq_fadeIn"">water-</span><span class=""BZ_Pyq_fadeIn"">based </span><span class=""BZ_Pyq_fadeIn"">formula </span><span class=""BZ_Pyq_fadeIn"">absorbs </span><span class=""BZ_Pyq_fadeIn"">quickly </span><span class=""BZ_Pyq_fadeIn"">into </span><span class=""BZ_Pyq_fadeIn"">the </span><span class=""BZ_Pyq_fadeIn"">skin, </span><span class=""BZ_Pyq_fadeIn"">making </span><span class=""BZ_Pyq_fadeIn"">them </span><span class=""BZ_Pyq_fadeIn"">ideal </span><span class=""BZ_Pyq_fadeIn"">for </span><span class=""BZ_Pyq_fadeIn"">oily </span><span class=""BZ_Pyq_fadeIn"">or </span><span class=""BZ_Pyq_fadeIn"">combination </span><span class=""BZ_Pyq_fadeIn"">skin </span><span class=""BZ_Pyq_fadeIn"">types.<br><br>After applying serum, take a small amount of gel moisturizer and gently massage it into the face and neck using upward strokes. Use morning and night.</span><br></p>",Lumivara Skin,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Moisturizers,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,25,deny,manual,699.00,1999.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0997/8141/1185/files/moisterizer6_19760af9-3bc9-4b0f-b715-822383561069.jpg?v=1773479347,1,"",false,,,,,,,,fragrance-free,all-day,,,gel,,,oily; combination,,kg,,,active
gel-moisturizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0997/8141/1185/files/moisterizer4.jpg?v=1773469065,2,"",,,,,,,,,,,,,,,,,,,,,
gel-sunscreen,Ultra Matte Dry Touch Sunscreen SPF 50,"<p><span class=""BZ_Pyq_fadeIn"">Gel </span><span class=""BZ_Pyq_fadeIn"">sunscreens </span><span class=""BZ_Pyq_fadeIn"">are </span><span class=""BZ_Pyq_fadeIn"">lightweight, </span><span class=""BZ_Pyq_fadeIn"">non-</span><span class=""BZ_Pyq_fadeIn"">greasy </span><span class=""BZ_Pyq_fadeIn"">formulas </span><span class=""BZ_Pyq_fadeIn"">that </span><span class=""BZ_Pyq_fadeIn"">provide </span><span class=""BZ_Pyq_fadeIn"">effective </span><span class=""BZ_Pyq_fadeIn"">sun </span><span class=""BZ_Pyq_fadeIn"">protection </span><span class=""BZ_Pyq_fadeIn"">while </span><span class=""BZ_Pyq_fadeIn"">leaving </span><span class=""BZ_Pyq_fadeIn"">the </span><span class=""BZ_Pyq_fadeIn"">skin </span><span class=""BZ_Pyq_fadeIn"">feeling </span><span class=""BZ_Pyq_fadeIn"">fresh </span><span class=""BZ_Pyq_fadeIn"">and </span><span class=""BZ_Pyq_fadeIn"">comfortable. </span><span class=""BZ_Pyq_fadeIn"">They </span><span class=""BZ_Pyq_fadeIn"">are </span><span class=""BZ_Pyq_fadeIn"">ideal </span><span class=""BZ_Pyq_fadeIn"">for </span><span class=""BZ_Pyq_fadeIn"">people </span><span class=""BZ_Pyq_fadeIn"">with </span><span class=""BZ_Pyq_fadeIn"">oily </span><span class=""BZ_Pyq_fadeIn"">or </span><span class=""BZ_Pyq_fadeIn"">acne-</span><span class=""BZ_Pyq_fadeIn"">prone </span><span class=""BZ_Pyq_fadeIn"">skin.<br><br>Apply as the final step of your morning skincare routine. Spread evenly across face and neck and allow it to absorb before going outside.<br></span><br></p>",Lumivara Skin,Health & Beauty > Personal Care > Cosmetics > Skin Care > Sunscreen,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,54,deny,manual,699.00,999.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0997/8141/1185/files/sunscreen6_e7142f86-6144-4af4-8dba-b0f01c3de4d7.jpg?v=1773479624,1,"",false,,,,,adults,alcohol; acerola-cherry; almond-oil,bottle,lightly-scented; fragrance-free,,box; plastic-container,all-natural-ingredients; aluminum-free; b-corporation,gel,protection; anti-shine,non-greasy,oily; problem,,kg,,,active
gel-sunscreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0997/8141/1185/files/sunscreen5_c4bd3acb-52f4-4a3a-8553-f7e8c4caf14b.jpg?v=1773479624,2,"",,,,,,,,,,,,,,,,,,,,,
